x,TH_final,TW_H_final,TW_C_final,TC_final,dT,PH,dp_amb,alpha_i_final,alpha_o_final,Q3,mdot_vec,Tower inlet diameter,Air face velocity,Bu_c,Bu_j,Bu_p
0,333.11,0,0,0,0,8000000,21.4313372833696,0,0,0,0.049891769768418,0,3,0,0,0.007042534416847
0.6,328.550977505814,314.503317187659,313.951330753834,304.200709384711,28.3082924622922,7999975.60941911,21.3042506731306,705.826714793382,50.3524920159892,460.517387491242,0.050608230229374,,,0.140214951938896,0.00023151719332,0.007579835458115
1.2,324.718963493941,313.520982339519,313.005930386311,303.906313898321,24.2948676687357,7999952.47483366,21.2037266278761,819.967983496618,50.3446648490934,429.703277761724,0.049899934724528,,,0.14337255588973,87.090191287296,0.008132372138833
1.8,321.540143803202,312.5668512855,312.08799520785,303.626627100494,20.9590796475705,7999930.48933498,21.131626337905,946.478178384114,50.3373689006219,399.505379714641,0.050600065274564,,,0.148596300541623,367.099967493805,0.008716148866834
2.4,318.930337654916,311.671771512847,311.227339097113,303.373227636172,18.2134946986982,7999909.54989435,,1083.51924845517,50.3309694255505,370.786023808261,,,,0.156610599953953,880.448598093452,0.009362473095585
3,316.803635543457,310.853684426905,310.441116994171,303.149331930977,15.9722441874954,7999889.56003207,,1228.15458957358,50.3255023796768,344.201351034601,,,,0.168541179201958,1693.98399778208,0.01020276151996
3.6,315.075514226768,310.087884923643,309.703316370033,302.905459596981,14.203572794462,7999870.43235184,,1372.06000475452,50.3186656484066,320.842134453481,,,,0.18823880354145,2946.45071292342,0.011125631885396
4.2,313.680954899515,309.457354294025,309.099186894574,302.767698643081,12.6997118226927,7999852.08779503,,1519.58115642318,50.3161897827392,298.815885643642,,,,0.213805785253019,4780.90902193276,0.012102069779255
4.8,312.562326738077,308.958560350209,308.625450530755,302.737147251985,11.3974668278367,7999834.45291331,,1670.5261316162,50.318156209254,277.910568791582,,,,0.245560243631127,7386.4181127876,0.013323554999395
5.4,311.666272032169,308.540260359611,308.229912817487,302.744333257432,10.3137156670444,7999817.46059501,,1812.88253019373,50.321447478344,258.92020264717,,,,0.290530213027345,11181.4739527259,0.014958993786228
